EBM-Ziffer;EBM_Bezeichnung;Punktzahl;EBM_Betrag;Waehrung;Zusatzkennzeichen;gueltigab;gueltigbis;geaendert
"01514";"Zusatzpauschale für Beobachtung und Betreuung bei der Gabe von Velmanase alfa";"502";"0";"";"";"20191001";"20200331";"20200518"
"01516";"Zusatzpauschale für Beobachtung und Betreuung bei der Gabe von Fingolimod";"1299";"0";"";"";"20200401";"20220331";"20220323"
"01516";"Zusatzpauschale für Beobachtung und Betreuung bei der Gabe von Fingolimod";"1404";"0";"";"";"20190701";"20200331";"20200518"
"01517";"Zusatzpauschale für Beobachtung und Betreuung bei der Gabe von Siponimod";"1299";"0";"";"";"20201001";"20220331";"20220323"
"01520";"Zusatzpauschale für Beobachtung nach diagnostischer Koronarangiografie";"878";"0";"";"";"20200401";"99991231";"20200518"
"01520";"Zusatzpauschale für Beobachtung nach diagnostischer Koronarangiografie";"962";"0";"";"";"20131001";"20200331";"20200518"
"01521";"Zusatzpauschale für Beobachtung nach therapeutischer Koronarangiografie";"1667";"0";"";"";"20131001";"20200331";"20200518"
"01521";"Zusatzpauschale für Beobachtung nach therapeutischer Koronarangiografie";"1521";"0";"";"";"20200401";"99991231";"20200518"
"01530";"Zusatzpauschale für Beobachtung nach diagnostischer Angiografie";"878";"0";"";"";"20200401";"99991231";"20200518"
"01530";"Zusatzpauschale für Beobachtung nach diagnostischer Angiografie";"962";"0";"";"";"20131001";"20200331";"20200518"
"01531";"Zusatzpauschale für Beobachtung nach therapeutischer Angiografie";"1667";"0";"";"";"20131001";"20200331";"20200518"
"01531";"Zusatzpauschale für Beobachtung nach therapeutischer Angiografie";"1521";"0";"";"";"20200401";"99991231";"20200518"
"01540";"Zusatzpauschale für die Beobachtung und Betreuung eines Kranken unter Behandlung mit Arzneimitteln, einschließlich Infusionen, 2h";"386";"0";"";"";"20220401";"99991231";"20220323"
"01541";"Zusatzpauschale für die Beobachtung und Betreuung eines Kranken unter Behandlung mit Arzneimitteln, einschließlich Infusionen, 4h";"625";"0";"";"";"20220401";"99991231";"20220323"
"01542";"Zusatzpauschale für die Beobachtung und Betreuung eines Kranken unter Behandlung mit Arzneimitteln, einschließlich Infusionen, 6h";"961";"0";"";"";"20220401";"99991231";"20220323"
"01543";"Zusatzpauschale für die Beobachtung und Betreuung eines Kranken unmittelbar nach der Gabe eines Arzneimittels, 2h";"311";"0";"";"";"20220401";"99991231";"20220323"
"01544";"Zusatzpauschale für die Beobachtung und Betreuung eines Kranken unmittelbar nach der Gabe eines Arzneimittels, 4h";"550";"0";"";"";"20220401";"99991231";"20220323"
"01545";"Zusatzpauschale für die Beobachtung und Betreuung eines Kranken unmittelbar nach der Gabe eines Arzneimittels, 6h";"885";"0";"";"";"20220401";"99991231";"20220323"
"01600";"Ärztlicher Bericht nach Untersuchung";"39";"0";"";"";"20131001";"20200331";"20200518"
"01600";"Ärztlicher Bericht nach Untersuchung";"55";"0";"";"";"20200401";"99991231";"20200518"
"01601";"Individueller Arztbrief";"108";"0";"";"";"20200401";"99991231";"20200518"
"01601";"Individueller Arztbrief";"74";"0";"";"";"20131001";"20200331";"20200518"
"01602";"Mehrfertigung (z. B. Kopie) eines Berichtes oder Briefes an den Hausarzt";"12";"0";"";"";"20131001";"20200331";"20200518"
"01602";"Mehrfertigung (z.B. Kopie) eines Berichtes oder Briefes an den Hausarzt";"12";"0";"";"";"20200401";"99991231";"20200518"
"01605";"Höchstwert für die Gebührenordnungspositionen 01600 bis 01601";"180";"0";"";"";"20131001";"20200331";"20200518"
